,Date,Start (ET),Visitor/Neutral,Visitor Points,Home/Neutral,Home Points, , ,Attend.,Notes
151,"Mon, Nov 17, 2014",8:30p,Philadelphia 76ers,75,San Antonio Spurs,100,Box Score,,"18,581",
152,"Mon, Nov 17, 2014",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,102,Box Score,,"19,441",
153,"Mon, Nov 17, 2014",10:30p,Chicago Bulls,105,Los Angeles Clippers,89,Box Score,,"19,319",
154,"Tue, Nov 18, 2014",7:30p,Los Angeles Lakers,114,Atlanta Hawks,109,Box Score,,"17,848",
155,"Tue, Nov 18, 2014",8:00p,New York Knicks,113,Milwaukee Bucks,117,Box Score,,"12,190",
156,"Tue, Nov 18, 2014",9:00p,Oklahoma City Thunder,81,Utah Jazz,98,Box Score,,"17,190",
157,"Tue, Nov 18, 2014",10:00p,New Orleans Pelicans,106,Sacramento Kings,100,Box Score,,"16,526",
158,"Wed, Nov 19, 2014",7:00p,San Antonio Spurs,92,Cleveland Cavaliers,90,Box Score,,"20,562",
159,"Wed, Nov 19, 2014",7:00p,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,"14,748",
160,"Wed, Nov 19, 2014",7:00p,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,"16,034",
161,"Wed, Nov 19, 2014",7:00p,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,"12,701",
162,"Wed, Nov 19, 2014",7:00p,Dallas Mavericks,105,Washington Wizards,102,Box Score,,"16,374",
163,"Wed, Nov 19, 2014",7:30p,Milwaukee Bucks,122,Brooklyn Nets,118,Box Score,3OT,"15,694",
164,"Wed, Nov 19, 2014",7:30p,Phoenix Suns,88,Detroit Pistons,86,Box Score,,"10,686",
165,"Wed, Nov 19, 2014",7:30p,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,"19,800",
166,"Wed, Nov 19, 2014",8:00p,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,"15,304",
167,"Wed, Nov 19, 2014",9:00p,Oklahoma City Thunder,100,Denver Nuggets,107,Box Score,,"14,140",
168,"Wed, Nov 19, 2014",9:30p,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,"18,245",
169,"Thu, Nov 20, 2014",8:00p,Los Angeles Clippers,110,Miami Heat,93,Box Score,,"19,685",
170,"Thu, Nov 20, 2014",10:30p,Chicago Bulls,88,Sacramento Kings,103,Box Score,,"17,317",
171,"Fri, Nov 21, 2014",7:00p,Orlando Magic,105,Charlotte Hornets,100,Box Score,,"18,126",
172,"Fri, Nov 21, 2014",7:00p,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,"16,789",
173,"Fri, Nov 21, 2014",7:30p,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,"16,517",
174,"Fri, Nov 21, 2014",7:30p,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,"19,800",
175,"Fri, Nov 21, 2014",8:00p,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,"17,712",
176,"Fri, Nov 21, 2014",8:00p,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,"12,414",
177,"Fri, Nov 21, 2014",8:00p,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,"18,203",
178,"Fri, Nov 21, 2014",8:00p,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,"20,356",
179,"Fri, Nov 21, 2014",8:30p,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,"20,353",
180,"Fri, Nov 21, 2014",9:00p,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,"15,232",
181,"Fri, Nov 21, 2014",10:30p,Utah Jazz,88,Golden State Warriors,101,Box Score,,"19,596",
182,"Fri, Nov 21, 2014",10:30p,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,"19,866",
183,"Sat, Nov 22, 2014",7:00p,Phoenix Suns,106,Indiana Pacers,83,Box Score,,"16,870",
184,"Sat, Nov 22, 2014",7:00p,Miami Heat,99,Orlando Magic,92,Box Score,,"18,846",
