PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TEAM,GAME_ID
Luke Kornet,11:21,3,4,.750,1,2,.500,0,0,,1,1,2,2,0,0,0,2,7,+1,NYK,471
Courtney Lee,10:14,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,1,1,2,0,+6,NYK,471
Mario Hezonja,Did Not Play,,,,,,,,,,,,,,,,,,,,NYK,471
Trey Burke,Did Not Play,,,,,,,,,,,,,,,,,,,,NYK,471
Kevin Huerter,34:17,6,12,.500,2,6,.333,2,2,1.000,1,0,1,1,1,1,3,1,16,+18,ATL,471
John Collins,32:56,7,15,.467,0,3,.000,3,4,.750,5,11,16,4,0,0,1,2,17,+17,ATL,471
Kent Bazemore,29:52,7,16,.438,3,6,.500,5,7,.714,2,4,6,1,1,0,2,1,22,+4,ATL,471
Trae Young,28:09,5,9,.556,0,0,,5,7,.714,1,2,3,10,1,0,2,1,15,+14,ATL,471
Dewayne Dedmon,27:36,3,6,.500,1,3,.333,2,2,1.000,1,4,5,2,0,0,1,6,9,+4,ATL,471
DeAndre' Bembry,28:02,5,8,.625,2,4,.500,0,0,,0,5,5,3,1,0,2,2,12,+1,ATL,471
Alex Len,21:07,5,13,.385,2,2,1.000,0,0,,4,3,7,3,0,0,1,1,12,-2,ATL,471
Jeremy Lin,20:42,5,8,.625,0,2,.000,1,2,.500,1,4,5,4,0,0,3,2,11,-8,ATL,471
Vince Carter,13:31,0,3,.000,0,3,.000,0,0,,0,6,6,1,0,0,1,1,0,-7,ATL,471
Daniel Hamilton,3:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6,ATL,471
Justin Anderson,Did Not Play,,,,,,,,,,,,,,,,,,,,ATL,471
Tyler Dorsey,Did Not Play,,,,,,,,,,,,,,,,,,,,ATL,471
Jaylen Adams,Did Not Play,,,,,,,,,,,,,,,,,,,,ATL,471
Kyrie Irving,38:47,7,20,.350,1,4,.250,0,0,,3,6,9,7,0,0,1,1,15,0,BOS,472
Gordon Hayward,35:35,3,13,.231,1,6,.167,4,5,.800,0,3,3,0,0,0,0,0,11,-5,BOS,472
Jayson Tatum,31:48,5,15,.333,3,7,.429,7,8,.875,0,5,5,2,2,1,2,4,20,-7,BOS,472
Marcus Smart,29:09,2,8,.250,0,2,.000,4,4,1.000,1,2,3,4,2,0,0,2,8,-15,BOS,472
Semi Ojeleye,16:40,3,6,.500,1,3,.333,3,4,.750,2,1,3,0,1,0,1,3,10,-8,BOS,472
Jaylen Brown,30:06,8,14,.571,3,6,.500,2,7,.286,2,5,7,2,4,0,0,2,21,-3,BOS,472
Daniel Theis,24:05,3,5,.600,1,2,.500,2,2,1.000,1,4,5,1,2,0,0,2,9,-2,BOS,472
Terry Rozier,19:26,1,7,.143,0,4,.000,2,2,1.000,0,1,1,4,1,0,0,1,4,-20,BOS,472
Robert Williams,8:03,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,2,1,1,4,-3,BOS,472
Guerschon Yabusele,4:37,2,2,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,5,-4,BOS,472
Brad Wanamaker,1:44,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,+2,BOS,472
Khris Middleton,33:37,8,20,.400,4,9,.444,1,2,.500,3,6,9,5,1,0,2,4,21,-3,MIL,472
Giannis Antetokounmpo,33:07,8,13,.615,1,3,.333,13,17,.765,3,5,8,5,0,3,4,3,30,+14,MIL,472
Eric Bledsoe,29:39,7,9,.778,1,2,.500,1,1,1.000,0,4,4,2,1,0,5,4,16,-8,MIL,472
Malcolm Brogdon,25:52,3,11,.273,0,6,.000,4,4,1.000,3,6,9,4,0,0,3,2,10,+12,MIL,472
Brook Lopez,23:32,1,5,.200,1,4,.250,0,0,,0,5,5,1,0,2,2,2,3,+6,MIL,472
Sterling Brown,24:58,1,5,.200,0,3,.000,0,0,,0,7,7,4,0,0,0,0,2,+13,MIL,472
George Hill,22:56,2,4,.500,1,3,.333,2,2,1.000,0,3,3,3,0,0,0,3,7,+23,MIL,472
Tony Snell,18:28,6,6,1.000,3,3,1.000,0,0,,0,2,2,1,0,0,3,5,15,0,MIL,472
Thon Maker,15:03,4,5,.800,4,5,.800,0,0,,0,3,3,1,1,0,0,3,12,+5,MIL,472
D.J. Wilson,12:47,1,2,.500,1,2,.500,1,2,.500,2,3,5,0,0,1,1,4,4,+3,MIL,472
Jaylen Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,472
Pat Connaughton,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,472
Jason Smith,Did Not Play,,,,,,,,,,,,,,,,,,,,MIL,472
Lauri Markkanen,36:45,12,20,.600,4,6,.667,4,4,1.000,0,6,6,3,0,1,2,5,32,+2,CHI,473
Justin Holiday,36:41,3,11,.273,0,5,.000,5,5,1.000,3,7,10,1,1,1,1,1,11,-4,CHI,473
Kris Dunn,35:50,4,14,.286,0,1,.000,4,6,.667,0,8,8,7,2,0,2,3,12,-4,CHI,473
Ryan Arcidiacono,33:06,1,4,.250,0,3,.000,2,2,1.000,0,3,3,8,0,0,0,2,4,+2,CHI,473
Wendell Carter,24:44,5,8,.625,0,0,,0,0,,2,6,8,0,0,0,0,5,10,-4,CHI,473
Robin Lopez,22:54,5,6,.833,1,1,1.000,3,7,.429,2,2,4,2,0,1,1,2,14,+14,CHI,473
Shaquille Harrison,21:35,2,4,.500,0,0,,0,0,,0,4,4,1,1,3,1,2,4,+13,CHI,473
Chandler Hutchison,16:44,1,4,.250,0,1,.000,0,0,,1,3,4,1,0,0,0,0,2,+17,CHI,473
Antonio Blakeney,11:41,0,4,.000,0,0,,1,2,.500,1,2,3,0,1,0,0,1,1,+14,CHI,473
Rawle Alkins,Did Not Play,,,,,,,,,,,,,,,,,,,,CHI,473
Cristiano Felício,Did Not Play,,,,,,,,,,,,,,,,,,,,CHI,473
Aaron Gordon,37:02,4,17,.235,0,3,.000,6,10,.600,5,7,12,4,0,1,0,2,14,+3,ORL,473
Nikola Vučević,36:41,8,19,.421,1,5,.200,2,2,1.000,5,14,19,4,0,4,0,3,19,+3,ORL,473
Evan Fournier,34:23,8,15,.533,5,10,.500,3,4,.750,0,3,3,6,0,0,4,3,24,+5,ORL,473
D.J. Augustin,33:48,2,9,.222,0,5,.000,4,4,1.000,1,2,3,2,0,0,3,3,8,-9,ORL,473
Jonathan Isaac,19:37,2,4,.500,1,2,.500,0,0,,1,2,3,0,3,0,0,4,5,-6,ORL,473
Terrence Ross,27:55,1,11,.091,0,4,.000,0,0,,0,3,3,0,0,0,0,2,2,-10,ORL,473
Wesley Iwundu,21:43,1,4,.250,1,2,.500,0,0,,0,0,0,0,1,0,1,4,3,-20,ORL,473
Jerian Grant,14:12,2,4,.500,0,1,.000,0,0,,1,1,2,4,0,0,0,0,4,-1,ORL,473
Mohamed Bamba,10:57,0,3,.000,0,1,.000,1,4,.250,0,2,2,0,0,0,0,1,1,-13,ORL,473
Jarell Martin,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,ORL,473
Khem Birch,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,473
Melvin Frazier,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,473
Isaiah Briscoe,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,473
DeMar DeRozan,31:35,5,10,.500,0,0,,2,4,.500,0,5,5,8,0,0,4,3,12,+6,SAS,474
Bryn Forbes,29:47,7,12,.583,3,5,.600,5,5,1.000,0,4,4,7,0,1,1,0,22,+19,SAS,474
Derrick White,24:50,3,6,.500,0,3,.000,1,1,1.000,0,3,3,4,1,0,2,3,7,+15,SAS,474
LaMarcus Aldridge,22:42,4,10,.400,1,1,1.000,1,1,1.000,3,6,9,4,0,1,2,4,10,+21,SAS,474
Rudy Gay,18:57,5,8,.625,2,2,1.000,2,3,.667,0,5,5,2,1,0,1,4,14,+11,SAS,474
Jakob Poeltl,27:09,6,9,.667,0,0,,0,0,,3,3,6,1,0,0,1,3,12,+2,SAS,474
Marco Belinelli,25:47,6,11,.545,5,9,.556,0,0,,2,4,6,2,1,0,2,1,17,+21,SAS,474
Dāvis Bertāns,22:53,5,10,.500,5,7,.714,0,0,,0,5,5,1,1,0,1,3,15,+15,SAS,474
Patty Mills,22:35,2,7,.286,2,5,.400,0,0,,1,2,3,5,3,1,2,0,6,+13,SAS,474
Quincy Pondexter,5:07,2,2,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,5,+1,SAS,474
Dante Cunningham,4:19,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,0,0,1,3,+3,SAS,474
Drew Eubanks,4:19,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,+3,SAS,474
Robert Covington,30:40,5,9,.556,2,4,.500,1,2,.500,2,5,7,1,6,1,1,4,13,-24,MIN,474
Andrew Wiggins,29:20,3,11,.273,0,3,.000,9,10,.900,1,5,6,0,0,0,2,3,15,-4,MIN,474
Karl-Anthony Towns,28:55,4,15,.267,1,5,.200,4,5,.800,0,6,6,4,1,0,1,3,13,-10,MIN,474
Taj Gibson,23:35,4,4,1.000,0,0,,1,2,.500,2,5,7,1,0,2,0,2,9,+4,MIN,474
Derrick Rose,15:53,1,8,.125,0,0,,2,2,1.000,0,2,2,1,0,1,1,0,4,-7,MIN,474
Josh Okogie,26:00,2,6,.333,0,1,.000,4,5,.800,2,1,3,1,1,1,1,2,8,-19,MIN,474
Tyus Jones,25:48,4,7,.571,0,0,,2,2,1.000,0,0,0,3,0,0,1,0,10,-11,MIN,474
Dario Šarić,20:06,2,5,.400,0,1,.000,3,3,1.000,1,4,5,4,1,0,3,0,7,-27,MIN,474
Gorgui Dieng,19:05,3,9,.333,0,1,.000,0,0,,1,1,2,1,1,0,1,2,6,-16,MIN,474
Jerryd Bayless,12:00,3,6,.500,1,3,.333,0,0,,0,0,0,3,1,0,1,2,7,-10,MIN,474
James Nunnally,4:19,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,1,6,-3,MIN,474
Anthony Tolliver,4:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3,MIN,474
Luol Deng,Did Not Play,,,,,,,,,,,,,,,,,,,,MIN,474
Damian Lillard,34:02,7,16,.438,4,8,.500,1,2,.500,3,1,4,2,3,2,4,0,19,-10,POR,475
CJ McCollum,30:12,5,15,.333,0,3,.000,2,2,1.000,0,4,4,2,3,0,2,3,12,-3,POR,475
Jusuf Nurkić,26:40,5,9,.556,0,0,,0,2,.000,1,9,10,4,1,2,1,2,10,-4,POR,475
Al-Farouq Aminu,22:47,1,10,.100,1,6,.167,2,2,1.000,1,3,4,0,0,0,1,1,5,+2,POR,475
Maurice Harkless,18:39,1,3,.333,1,2,.500,1,4,.250,0,2,2,1,0,1,0,2,4,-5,POR,475
Evan Turner,23:34,6,8,.750,0,0,,0,0,,2,4,6,3,0,1,2,2,12,-20,POR,475
Zach Collins,21:20,2,8,.250,0,3,.000,0,0,,3,2,5,1,0,0,1,3,4,-26,POR,475
Seth Curry,15:54,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-28,POR,475
Meyers Leonard,15:33,3,5,.600,3,5,.600,0,0,,1,2,3,2,0,0,2,0,9,-21,POR,475
Nik Stauskas,13:58,2,6,.333,0,1,.000,0,0,,1,2,3,1,1,0,0,0,4,-20,POR,475
Wade Baldwin,5:47,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,5,-5,POR,475
Jake Layman,5:47,0,0,,0,0,,3,4,.750,1,0,1,0,0,0,0,0,3,-5,POR,475
Caleb Swanigan,5:47,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5,POR,475
Rudy Gobert,29:33,4,9,.444,0,0,,3,3,1.000,2,9,11,3,0,2,3,3,11,+13,UTA,475
Donovan Mitchell,27:56,1,10,.100,0,4,.000,1,2,.500,1,6,7,4,1,1,4,2,3,+17,UTA,475
Joe Ingles,27:48,6,11,.545,2,5,.400,1,4,.250,0,5,5,7,1,0,1,1,15,0,UTA,475
Ricky Rubio,26:59,10,15,.667,4,4,1.000,0,0,,0,2,2,8,1,1,5,1,24,+14,UTA,475
Derrick Favors,23:57,4,6,.667,0,0,,2,4,.500,1,3,4,1,0,2,0,3,10,+19,UTA,475
Kyle Korver,25:50,7,12,.583,3,7,.429,1,1,1.000,0,4,4,2,1,0,0,1,18,+26,UTA,475
Jae Crowder,24:20,6,9,.667,4,7,.571,0,1,.000,1,0,1,0,1,0,1,1,16,+7,UTA,475
Dante Exum,21:01,4,7,.571,0,0,,0,0,,0,1,1,8,1,0,0,3,8,+16,UTA,475
Royce O'Neale,10:07,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,1,0,+13,UTA,475
Thabo Sefolosha,9:34,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,3,5,+13,UTA,475
Raul Neto,4:19,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,+4,UTA,475
Georges Niang,4:18,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,2,6,+4,UTA,475
Ekpe Udoh,4:18,1,1,1.000,0,0,,0,0,,1,2,3,0,1,0,0,0,2,+4,UTA,475
Buddy Hield,38:20,9,24,.375,6,13,.462,4,5,.800,2,6,8,1,1,0,2,2,28,+2,SAC,476
Willie Cauley-Stein,36:41,5,9,.556,0,0,,2,3,.667,3,10,13,4,1,0,0,0,12,+3,SAC,476
De'Aaron Fox,32:56,4,11,.364,2,3,.667,4,6,.667,0,2,2,8,5,1,3,4,14,+7,SAC,476
Iman Shumpert,20:39,3,7,.429,2,6,.333,3,4,.750,0,0,0,1,1,0,0,1,11,-2,SAC,476
Kosta Koufos,15:19,2,7,.286,0,0,,0,0,,4,4,8,0,0,2,0,1,4,-5,SAC,476
Nemanja Bjelica,35:38,4,13,.308,2,9,.222,1,1,1.000,2,4,6,3,1,2,2,4,11,+13,SAC,476
Bogdan Bogdanović,27:21,3,9,.333,3,7,.429,5,8,.625,0,1,1,4,1,0,2,0,14,+5,SAC,476
Justin Jackson,22:24,3,5,.600,0,2,.000,2,2,1.000,1,2,3,0,0,0,0,2,8,-7,SAC,476
Yogi Ferrell,10:42,0,3,.000,0,1,.000,0,0,,0,1,1,4,0,0,0,1,0,-1,SAC,476
Skal Labissière,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,476
Frank Mason,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,476
Ben McLemore,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,476
Garrett Temple,37:56,6,9,.667,3,5,.600,2,2,1.000,0,4,4,2,2,1,3,3,17,-7,MEM,476
Marc Gasol,37:40,3,12,.250,2,5,.400,4,4,1.000,2,6,8,5,0,2,6,3,12,-2,MEM,476
Kyle Anderson,33:05,5,7,.714,0,1,.000,0,0,,0,6,6,2,1,0,1,3,10,-1,MEM,476
Mike Conley,32:12,8,18,.444,7,11,.636,0,0,,1,6,7,5,1,1,2,1,23,0,MEM,476
Jaren Jackson,24:16,5,8,.625,1,2,.500,1,1,1.000,1,5,6,2,1,3,2,6,12,-4,MEM,476
JaMychal Green,27:14,4,8,.500,0,1,.000,0,0,,3,6,9,1,0,0,1,3,8,-1,MEM,476
Shelvin Mack,25:33,4,11,.364,1,3,.333,2,3,.667,0,1,1,4,2,1,2,1,11,-10,MEM,476
Wayne Selden,16:01,2,5,.400,2,3,.667,0,0,,1,1,2,3,0,0,0,2,6,+5,MEM,476
Jevon Carter,3:24,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,+3,MEM,476
MarShon Brooks,2:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+2,MEM,476
Ivan Rabb,Did Not Play,,,,,,,,,,,,,,,,,,,,MEM,476
Omri Casspi,Did Not Dress,,,,,,,,,,,,,,,,,,,,MEM,476
Yuta Watanabe,Did Not Play,,,,,,,,,,,,,,,,,,,,MEM,476
LeBron James,38:45,8,20,.400,0,4,.000,6,9,.667,2,10,12,14,2,0,2,3,22,+13,LAL,477
Kyle Kuzma,37:23,8,15,.533,3,8,.375,4,5,.800,0,3,3,1,1,0,0,2,23,+14,LAL,477
Brandon Ingram,32:43,6,14,.429,0,2,.000,6,8,.750,2,5,7,2,1,0,2,1,18,+16,LAL,477
Ivica Zubac,32:16,8,10,.800,0,0,,0,0,,2,9,11,0,2,2,1,5,16,+15,LAL,477
Lonzo Ball,26:09,5,10,.500,2,6,.333,0,0,,1,4,5,2,0,0,2,2,12,+18,LAL,477
Rajon Rondo,21:51,3,10,.300,0,4,.000,2,3,.667,0,4,4,9,0,0,2,1,8,-10,LAL,477
Josh Hart,19:52,2,5,.400,2,4,.500,0,0,,0,1,1,0,0,0,1,0,6,-11,LAL,477
Tyson Chandler,15:44,1,2,.500,0,0,,0,0,,1,2,3,0,1,2,1,1,2,-7,LAL,477
Kentavious Caldwell-Pope,15:17,2,6,.333,1,4,.250,0,0,,0,2,2,0,0,0,1,2,5,-8,LAL,477
Lance Stephenson,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,477
Moritz Wagner,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,477
JaVale McGee,Not With Team,,,,,,,,,,,,,,,,,,,,LAL,477
Sviatoslav Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,477
Anthony Davis,39:21,12,23,.522,1,4,.250,5,8,.625,5,15,20,5,0,1,1,2,30,-9,NOP,477
Jrue Holiday,37:39,8,19,.421,2,7,.286,0,1,.000,2,4,6,10,0,3,5,2,18,-11,NOP,477
Julius Randle,33:37,9,15,.600,0,1,.000,3,5,.600,0,8,8,2,0,1,3,3,21,-16,NOP,477
Solomon Hill,14:35,1,3,.333,0,2,.000,0,0,,1,0,1,0,2,1,0,2,2,-12,NOP,477
Tim Frazier,12:10,1,2,.500,0,1,.000,0,0,,2,2,4,2,0,0,0,3,2,-15,NOP,477
Darius Miller,31:43,4,10,.400,3,7,.429,0,0,,0,3,3,4,1,0,0,2,11,+14,NOP,477
E'Twaun Moore,31:42,4,18,.222,2,5,.400,0,0,,1,1,2,2,2,0,0,4,10,+2,NOP,477
Jahlil Okafor,13:09,4,7,.571,0,0,,0,2,.000,3,2,5,1,1,0,1,3,8,+3,NOP,477
Kenrich Williams,10:48,1,3,.333,0,0,,0,0,,0,3,3,0,1,0,1,2,2,+2,NOP,477
Frank Jackson,9:32,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0,NOP,477
Andrew Harrison,5:44,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+2,NOP,477
Wesley Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,NOP,477
Cheick Diallo,Did Not Play,,,,,,,,,,,,,,,,,,,,NOP,477
Shai Gilgeous-Alexander,32:34,6,10,.600,0,0,,2,2,1.000,0,2,2,6,2,1,0,2,14,+23,LAC,478
Tobias Harris,26:41,7,15,.467,3,5,.600,4,4,1.000,2,5,7,3,0,0,1,0,21,+14,LAC,478
Danilo Gallinari,24:40,7,11,.636,3,5,.600,4,4,1.000,1,3,4,2,1,0,0,1,21,+17,LAC,478
Avery Bradley,22:03,4,6,.667,1,1,1.000,0,0,,0,1,1,3,1,1,1,3,9,+17,LAC,478
Marcin Gortat,19:47,2,5,.400,0,0,,0,0,,3,8,11,1,0,1,1,2,4,+9,LAC,478
Mike Scott,23:09,4,7,.571,1,3,.333,0,0,,2,3,5,4,2,0,1,1,9,+2,LAC,478
Tyrone Wallace,20:04,4,9,.444,0,1,.000,0,0,,1,3,4,0,1,0,1,5,8,+8,LAC,478
Montrezl Harrell,19:23,9,11,.818,0,0,,2,3,.667,3,7,10,0,0,1,0,2,20,+12,LAC,478
Patrick Beverley,18:43,4,6,.667,2,4,.500,2,2,1.000,0,4,4,1,0,1,1,4,12,+5,LAC,478
Lou Williams,16:43,2,5,.400,0,1,.000,2,2,1.000,0,0,0,7,0,0,5,1,6,-1,LAC,478
Boban Marjanović,8:50,3,6,.500,0,0,,0,0,,0,5,5,0,0,0,3,1,6,0,LAC,478
Sindarius Thornwell,7:23,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,1,1,2,-1,LAC,478
Miloš Teodosić,Did Not Play,,,,,,,,,,,,,,,,,,,,LAC,478
Jamal Murray,30:54,6,16,.375,1,6,.167,5,5,1.000,0,3,3,2,1,0,1,0,18,-17,DEN,478
Mason Plumlee,29:59,3,8,.375,0,0,,2,4,.500,2,7,9,4,2,0,3,4,8,-17,DEN,478
Torrey Craig,26:08,2,5,.400,0,1,.000,2,2,1.000,3,2,5,0,0,1,0,0,6,-11,DEN,478
Juan Hernangómez,23:16,3,8,.375,1,4,.250,1,3,.333,1,2,3,0,0,1,0,3,8,-8,DEN,478
Nikola Jokić,20:37,7,15,.467,2,2,1.000,3,3,1.000,2,4,6,3,0,1,4,2,19,-16,DEN,478
Malik Beasley,28:09,5,14,.357,0,3,.000,1,1,1.000,2,2,4,1,5,0,0,3,11,-8,DEN,478
Monte Morris,24:46,6,9,.667,1,3,.333,2,2,1.000,0,1,1,5,1,0,1,1,15,-19,DEN,478
Trey Lyles,17:42,5,8,.625,1,3,.333,2,3,.667,1,2,3,0,0,1,0,2,13,-14,DEN,478
Nick Young,13:04,0,4,.000,0,3,.000,0,0,,0,0,0,1,0,1,0,0,0,-6,DEN,478
Thomas Welsh,9:44,3,7,.429,2,5,.400,0,0,,0,0,0,1,0,0,0,0,8,+3,DEN,478
Tyler Lydon,9:17,0,0,,0,0,,0,0,,2,1,3,1,1,0,0,0,0,+3,DEN,478
Brandon Goodwin,6:24,1,3,.333,1,1,1.000,2,2,1.000,0,0,0,3,0,0,0,1,5,+5,DEN,478
Trevor Ariza,54:10,5,18,.278,1,7,.143,3,4,.750,2,5,7,7,3,0,5,4,14,+7,WAS,479
Bradley Beal,53:56,17,33,.515,4,12,.333,2,2,1.000,6,5,11,15,0,1,8,5,40,+6,WAS,479
Jeff Green,48:58,4,8,.500,2,4,.500,10,10,1.000,1,7,8,0,1,0,0,1,20,+10,WAS,479
Tomáš Satoranský,48:07,6,12,.500,2,4,.500,3,4,.750,2,2,4,9,1,0,3,3,17,+5,WAS,479
Thomas Bryant,35:54,14,14,1.000,0,0,,3,3,1.000,4,9,13,2,0,0,1,3,31,+12,WAS,479
Markieff Morris,26:57,8,18,.444,4,7,.571,0,0,,1,2,3,3,0,2,5,6,20,-9,WAS,479
Chasson Randle,18:56,0,5,.000,0,2,.000,3,4,.750,0,1,1,3,0,0,0,2,3,-4,WAS,479
Sam Dekker,14:02,2,3,.667,0,0,,0,0,,1,3,4,0,1,1,0,0,4,-7,WAS,479
Ron Baker,14:00,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,2,0,-5,WAS,479
Ian Mahinmi,Did Not Play,,,,,,,,,,,,,,,,,,,,WAS,479
Troy Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,WAS,479
John Wall,Did Not Dress,,,,,,,,,,,,,,,,,,,,WAS,479
Jordan McRae,Did Not Play,,,,,,,,,,,,,,,,,,,,WAS,479
Devin Booker,54:36,12,28,.429,2,12,.167,7,8,.875,3,1,4,14,1,1,4,5,33,-1,PHO,479
T.J. Warren,53:09,9,18,.500,3,6,.500,7,12,.583,1,7,8,4,2,2,1,3,28,-12,PHO,479
Deandre Ayton,38:33,11,18,.611,0,0,,4,5,.800,9,8,17,1,1,1,3,6,26,-5,PHO,479
Mikal Bridges,32:35,2,4,.500,1,2,.500,0,0,,1,3,4,3,2,1,0,1,5,-3,PHO,479
De'Anthony Melton,19:58,4,5,.800,2,2,1.000,0,0,,1,1,2,3,3,0,1,2,10,+4,PHO,479
Kelly Oubre,42:21,6,14,.429,3,8,.375,5,6,.833,1,4,5,0,1,0,1,3,20,-7,PHO,479
Jamal Crawford,32:39,4,12,.333,0,3,.000,2,2,1.000,0,1,1,5,0,1,4,4,10,+5,PHO,479
Richaun Holmes,24:27,6,8,.750,0,0,,0,0,,2,3,5,0,1,1,0,3,12,+2,PHO,479
Josh Jackson,16:42,1,8,.125,0,2,.000,0,0,,1,3,4,0,3,0,0,1,2,+2,PHO,479
Eric Moreland,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,479
Dragan Bender,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,479
Troy Daniels,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,479
Elie Okobo,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,479
Ben Simmons,33:30,11,13,.846,0,0,,4,6,.667,1,11,12,8,0,1,1,2,26,+17,PHI,480
Joel Embiid,30:38,10,15,.667,0,0,,7,9,.778,1,10,11,1,1,1,3,3,27,+15,PHI,480
Jimmy Butler,28:37,4,10,.400,0,2,.000,4,4,1.000,1,6,7,7,3,1,2,3,12,+7,PHI,480
J.J. Redick,27:40,7,12,.583,4,5,.800,4,6,.667,0,3,3,5,0,0,0,0,22,+26,PHI,480
Mike Muscala,17:37,1,3,.333,1,3,.333,1,2,.500,0,4,4,1,0,0,0,2,4,+10,PHI,480
T.J. McConnell,28:28,3,11,.273,0,2,.000,0,0,,0,3,3,7,0,0,0,2,6,+15,PHI,480
Jonah Bolden,25:19,1,3,.333,0,1,.000,2,2,1.000,1,8,9,1,0,4,3,3,4,+14,PHI,480
Furkan Korkmaz,19:23,6,9,.667,2,5,.400,2,3,.667,0,4,4,0,3,0,1,0,16,+18,PHI,480
Landry Shamet,16:06,1,5,.200,0,4,.000,1,1,1.000,0,0,0,1,0,0,1,4,3,-3,PHI,480
Shake Milton,4:14,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,2,0,0,1,5,+2,PHI,480
Amir Johnson,4:14,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,1,0,0,0,1,+2,PHI,480
Demetrius Jackson,4:14,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,+2,PHI,480
Pascal Siakam,37:16,11,21,.524,0,6,.000,4,4,1.000,2,4,6,2,1,0,0,1,26,-21,TOR,480
Kyle Lowry,30:57,6,16,.375,2,9,.222,6,6,1.000,0,6,6,5,1,1,2,2,20,-8,TOR,480
OG Anunoby,26:29,2,4,.500,1,2,.500,0,0,,0,5,5,1,0,0,2,5,5,-2,TOR,480
Danny Green,24:37,3,12,.250,1,5,.200,2,2,1.000,0,3,3,0,0,0,3,3,9,-7,TOR,480
Greg Monroe,21:53,3,7,.429,0,0,,0,0,,4,4,8,1,0,0,1,4,6,-16,TOR,480
Fred VanVleet,27:54,5,14,.357,2,6,.333,0,0,,0,2,2,3,1,0,1,2,12,-18,TOR,480
Norman Powell,25:14,4,8,.500,2,4,.500,3,3,1.000,0,3,3,1,1,0,1,1,13,-13,TOR,480
Delon Wright,17:12,1,5,.200,0,1,.000,2,4,.500,1,2,3,3,1,0,1,0,4,-18,TOR,480
C.J. Miles,12:18,1,4,.250,1,4,.250,0,0,,0,1,1,0,0,0,1,2,3,-9,TOR,480
Lorenzo Brown,6:09,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,0,0,-5,TOR,480
Chris Boucher,5:47,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,2,4,0,-6,TOR,480
Malachi Richardson,4:14,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-2,TOR,480
James Harden,41:07,12,34,.353,7,19,.368,8,9,.889,2,2,4,10,2,0,3,4,39,+14,HOU,481
Eric Gordon,36:34,7,20,.350,4,12,.333,0,0,,1,1,2,6,0,1,2,0,18,+6,HOU,481
